emp.var.rate,cons.price.idx,euribor3m,duration,poutcome_n
1.4,94.465,4.864,126.0,0.0
-1.8,93.075,1.479,230.0,0.0
1.4,94.465,4.962,300.0,0.0
1.1,93.994,4.857,13.0,0.0
1.4,94.465,4.959,98.0,0.0
1.4,93.444,4.963,788.0,0.0
-2.9,92.963,1.252,245.0,0.0
-3.4,92.431,0.722,133.0,1.0
1.4,94.465,4.961,205.0,0.0
-1.8,93.075,1.405,67.0,0.0
1.4,93.918,4.963,207.0,0.0
1.1,93.994,4.857,1002.0,0.0
-1.8,93.075,1.423,72.0,0.0
1.4,93.918,4.962,295.0,0.0
1.1,93.994,4.857,371.0,0.0
-1.8,93.075,1.405,87.0,1.0
1.4,93.918,4.963,87.0,0.0
1.4,93.444,4.962,13.0,0.0
1.4,94.465,4.865,490.0,0.0
1.4,93.444,4.962,76.0,0.0
1.4,94.465,4.961,117.0,0.0
1.1,93.994,4.857,421.0,0.0
1.4,93.444,4.964,214.0,0.0
1.1,93.994,4.858,124.0,0.0
-1.8,92.893,1.281,213.0,0.0
1.4,94.465,4.961,127.0,0.0
1.1,93.994,4.858,67.0,0.0
1.4,93.444,4.964,150.0,0.0
1.1,93.994,4.857,318.0,0.0
-0.1,93.2,4.12,37.0,1.0
1.4,93.444,4.963,195.0,0.0
1.4,93.918,4.957,642.0,0.0
1.4,93.918,4.962,520.0,0.0
1.4,94.465,4.959,850.0,0.0
1.4,94.465,4.958,128.0,0.0
-1.8,93.075,1.405,208.0,0.0
1.1,93.994,4.864,447.0,0.0
1.4,93.918,4.963,128.0,0.0
1.4,93.444,4.965,56.0,0.0
1.4,93.918,4.962,98.0,0.0
1.4,93.918,4.958,124.0,0.0
-1.7,94.215,0.861,84.0,1.0
-1.1,94.199,0.879,232.0,2.0
1.1,93.994,4.857,643.0,0.0
1.4,93.444,4.963,545.0,0.0
-1.8,92.893,1.25,22.0,0.0
1.1,93.994,4.86,54.0,0.0
1.1,93.994,4.856,131.0,0.0
-1.8,92.893,1.244,54.0,1.0
1.4,94.465,4.961,186.0,0.0
1.1,93.994,4.86,221.0,0.0
-1.8,92.893,1.266,294.0,0.0
1.4,93.444,4.965,121.0,0.0
1.4,93.918,4.962,90.0,0.0
1.4,94.465,4.955,138.0,0.0
-3.4,92.379,0.797,99.0,0.0
1.1,93.994,4.856,324.0,0.0
1.4,93.444,4.965,163.0,0.0
1.1,93.994,4.857,171.0,0.0
1.4,94.465,4.959,55.0,0.0
1.1,93.994,4.857,40.0,0.0
1.4,93.918,4.961,661.0,0.0
-1.8,92.893,1.244,22.0,0.0
1.4,94.465,4.958,278.0,0.0
-1.8,93.075,1.405,15.0,0.0
-2.9,92.469,1.029,72.0,0.0
-1.8,92.893,1.334,149.0,0.0
-2.9,92.201,0.873,189.0,2.0
1.4,93.444,4.964,157.0,0.0
1.4,93.918,4.962,446.0,0.0
-0.1,93.2,4.076,361.0,1.0
-1.8,92.893,1.281,774.0,1.0
-0.1,93.2,4.12,311.0,0.0
-1.7,94.027,0.899,481.0,1.0
-2.9,92.963,1.26,699.0,1.0
-1.8,92.893,1.281,850.0,0.0
-1.8,93.749,0.642,176.0,0.0
-0.1,93.2,4.021,140.0,0.0
1.1,93.994,4.857,202.0,0.0
1.4,94.465,4.96,1298.0,0.0
1.1,93.994,4.856,253.0,0.0
-0.1,93.2,4.663,204.0,0.0
1.4,93.444,4.968,122.0,0.0
-1.8,93.075,1.405,198.0,0.0
1.1,93.994,4.856,122.0,0.0
-0.1,93.2,4.076,186.0,0.0
-0.1,93.2,4.021,102.0,0.0
1.4,94.465,4.864,303.0,0.0
1.4,93.444,4.965,247.0,0.0
1.4,93.918,4.963,213.0,0.0
-2.9,92.201,0.883,704.0,0.0
-0.1,93.2,4.191,303.0,1.0
1.1,93.994,4.859,158.0,0.0
1.4,94.465,4.866,67.0,0.0
-1.7,94.215,0.846,390.0,2.0
-2.9,92.201,0.838,279.0,1.0
-0.1,93.2,4.12,248.0,0.0
1.1,93.994,4.858,792.0,0.0
-0.1,93.2,4.076,2420.0,0.0
-1.8,93.075,1.405,52.0,0.0
1.4,94.465,4.866,31.0,0.0
-1.1,94.199,0.882,35.0,0.0
-0.1,93.2,4.076,75.0,0.0
1.4,93.444,4.968,165.0,0.0
1.4,94.465,4.967,100.0,0.0
1.4,94.465,4.967,326.0,0.0
-1.8,93.075,1.453,88.0,0.0
-1.8,92.893,1.354,14.0,2.0
-0.1,93.2,4.12,186.0,0.0
-0.1,93.2,4.153,103.0,1.0
1.4,93.918,4.957,99.0,0.0
1.4,93.444,4.97,551.0,0.0
1.4,94.465,4.865,25.0,0.0
1.1,93.994,4.857,92.0,0.0
1.4,93.444,4.962,51.0,0.0
1.4,93.444,4.963,91.0,0.0
1.4,93.918,4.962,182.0,0.0
-0.1,93.2,4.191,126.0,0.0
-1.7,94.027,0.903,237.0,2.0
1.1,93.994,4.859,833.0,0.0
1.1,93.994,4.856,1581.0,0.0
1.1,93.994,4.856,150.0,0.0
-1.8,93.075,1.365,264.0,0.0
1.4,93.444,4.964,10.0,0.0
-1.8,93.075,1.405,49.0,1.0
-0.1,93.2,4.191,69.0,0.0
1.4,93.918,4.963,143.0,0.0
1.4,93.918,4.957,252.0,0.0
-1.1,94.767,1.049,482.0,2.0
-0.1,93.2,4.153,62.0,0.0
-0.1,93.2,4.076,309.0,0.0
1.1,93.994,4.857,76.0,0.0
-1.8,92.893,1.266,186.0,0.0
1.4,93.444,4.964,72.0,0.0
-2.9,92.201,0.861,156.0,1.0
1.4,94.465,4.961,223.0,0.0
1.4,93.918,4.96,78.0,0.0
-0.1,93.2,4.12,84.0,0.0
1.1,93.994,4.857,585.0,0.0
-2.9,92.963,1.26,102.0,0.0
1.4,93.918,4.968,207.0,0.0
-1.8,92.893,1.27,200.0,0.0
-1.8,93.075,1.41,700.0,0.0
-1.8,92.843,1.531,234.0,0.0
1.4,94.465,4.864,23.0,0.0
-3.4,92.649,0.722,1024.0,2.0
-1.8,93.075,1.405,132.0,0.0
1.1,93.994,4.864,1193.0,0.0
1.4,93.918,4.961,1127.0,0.0
1.4,93.918,4.961,136.0,0.0
-0.1,93.2,4.153,121.0,0.0
-2.9,92.201,0.821,62.0,1.0
1.4,94.465,4.962,262.0,0.0
-2.9,92.201,0.881,325.0,2.0
1.1,93.994,4.857,211.0,0.0
-1.8,92.893,1.25,25.0,0.0
1.1,93.994,4.859,169.0,0.0
-1.8,92.893,1.266,142.0,0.0
-1.8,93.369,0.652,568.0,2.0
1.1,93.994,4.859,477.0,0.0
1.1,93.994,4.86,484.0,0.0
1.4,93.918,4.962,90.0,0.0
1.4,94.465,4.958,109.0,0.0
-1.8,92.893,1.266,81.0,1.0
-1.8,92.893,1.291,301.0,2.0
-1.8,92.893,1.281,285.0,0.0
1.4,93.444,4.965,155.0,0.0
-0.1,93.2,4.191,63.0,0.0
-1.1,94.767,1.046,1166.0,1.0
-1.8,92.893,1.334,338.0,0.0
-1.7,94.215,0.899,169.0,2.0
-3.4,92.431,0.754,302.0,2.0
-0.1,93.2,4.191,183.0,0.0
1.4,93.918,4.962,147.0,0.0
-0.1,93.2,4.191,76.0,0.0
1.4,94.465,4.961,74.0,0.0
1.4,93.444,4.964,63.0,0.0
1.4,94.465,4.865,302.0,0.0
-2.9,92.201,0.873,791.0,0.0
-1.8,92.893,1.327,16.0,0.0
1.4,93.444,4.965,119.0,0.0
-1.8,92.893,1.25,137.0,1.0
-1.8,92.893,1.281,252.0,0.0
1.4,93.444,4.963,125.0,0.0
1.4,93.918,4.957,406.0,0.0
1.4,93.918,4.96,90.0,0.0
-3.4,92.431,0.739,143.0,0.0
-1.8,93.075,1.483,288.0,1.0
1.1,93.994,4.857,174.0,0.0
1.1,93.994,4.857,200.0,0.0
-1.7,94.055,0.713,544.0,0.0
1.4,93.444,4.968,218.0,0.0
1.1,93.994,4.857,642.0,0.0
1.4,93.918,4.955,55.0,0.0
1.4,94.465,4.959,93.0,0.0
-1.8,92.893,1.264,344.0,0.0
1.1,93.994,4.857,73.0,0.0
-1.8,92.893,1.259,582.0,2.0
1.4,93.444,4.965,610.0,0.0
-0.1,93.2,4.12,201.0,2.0
-0.1,93.798,5.0,309.0,0.0
-0.1,93.2,4.12,133.0,0.0
1.4,93.444,4.963,515.0,0.0
1.4,94.465,4.958,85.0,0.0
1.4,93.918,4.962,157.0,0.0
1.1,93.994,4.855,51.0,0.0
-0.1,93.2,4.153,53.0,1.0
1.1,93.994,4.858,131.0,0.0
1.4,94.465,4.959,30.0,0.0
1.1,93.994,4.855,301.0,0.0
1.4,93.918,4.962,85.0,0.0
1.4,93.444,4.964,189.0,0.0
-1.8,93.075,1.365,63.0,0.0
1.4,93.444,4.963,166.0,0.0
1.1,93.994,4.86,124.0,0.0
1.4,93.918,4.962,550.0,0.0
-1.8,92.893,1.327,104.0,1.0
-1.8,92.893,1.344,257.0,0.0
-1.7,94.215,0.802,273.0,2.0
1.1,93.994,4.86,297.0,0.0
1.4,94.465,4.959,111.0,0.0
1.1,93.994,4.857,87.0,0.0
-0.1,93.2,4.153,108.0,0.0
-1.8,92.893,1.354,333.0,0.0
-3.4,92.379,0.741,491.0,0.0
-1.8,93.075,1.405,126.0,0.0
1.4,93.918,4.96,461.0,0.0
-2.9,92.201,0.873,75.0,1.0
-1.7,94.055,0.72,293.0,2.0
-1.8,92.893,1.281,36.0,1.0
1.4,93.918,4.962,699.0,0.0
1.4,93.918,4.96,326.0,0.0
1.4,93.444,4.97,227.0,0.0
1.4,93.918,4.968,120.0,0.0
1.1,93.994,4.855,122.0,0.0
1.4,93.918,4.96,564.0,0.0
1.4,93.444,4.966,116.0,0.0
1.4,93.918,4.963,61.0,0.0
-1.8,93.075,1.405,314.0,0.0
-3.4,92.431,0.724,85.0,0.0
-2.9,92.201,0.838,192.0,2.0
-0.1,93.2,4.076,689.0,0.0
-1.8,92.893,1.327,230.0,0.0
1.4,93.918,4.959,327.0,0.0
-1.8,93.075,1.405,222.0,0.0
-1.8,93.749,0.644,247.0,1.0
-1.8,92.893,1.25,612.0,1.0
1.4,93.444,4.963,263.0,0.0
1.4,93.918,4.96,9.0,0.0
-1.8,93.075,1.423,133.0,0.0
1.1,93.994,4.859,376.0,0.0
-3.4,92.431,0.72,59.0,0.0
-1.8,93.075,1.405,318.0,0.0
1.1,93.994,4.856,1273.0,0.0
1.1,93.994,4.857,219.0,0.0
-1.8,93.075,1.405,141.0,0.0
-1.8,92.893,1.327,227.0,0.0
-1.8,92.893,1.313,87.0,0.0
-1.8,93.075,1.435,220.0,1.0
1.4,94.465,4.947,244.0,0.0
-1.8,92.893,1.327,51.0,0.0
1.1,93.994,4.857,217.0,0.0
-0.1,93.2,4.076,157.0,0.0
1.4,93.444,4.968,1186.0,0.0
-2.9,92.201,0.854,80.0,0.0
1.4,94.465,4.864,729.0,0.0
1.4,94.465,4.864,29.0,0.0
1.1,93.994,4.858,131.0,0.0
1.4,93.918,4.962,775.0,0.0
1.4,93.918,4.963,166.0,0.0
-0.1,93.2,4.12,648.0,0.0
-1.8,93.075,1.423,85.0,1.0
1.1,93.994,4.856,1093.0,0.0
-1.8,93.075,1.405,233.0,0.0
1.4,94.465,4.961,753.0,0.0
1.1,93.994,4.858,506.0,0.0
1.1,93.994,4.86,146.0,0.0
1.4,94.465,4.961,118.0,0.0
1.4,93.444,4.966,117.0,0.0
1.4,93.918,4.962,227.0,0.0
-0.1,93.2,4.153,145.0,1.0
1.4,93.918,4.963,243.0,0.0
1.4,93.918,4.962,1946.0,0.0
1.4,93.918,4.962,82.0,0.0
1.4,93.444,4.964,219.0,0.0
1.4,94.465,4.961,18.0,0.0
1.4,93.918,4.963,209.0,0.0
1.4,94.465,4.962,379.0,0.0
1.1,93.994,4.857,160.0,0.0
1.4,94.465,4.959,339.0,0.0
-3.4,92.431,0.728,418.0,0.0
-0.1,93.2,4.153,79.0,1.0
1.1,93.994,4.86,199.0,0.0
1.4,94.465,4.959,51.0,0.0
-2.9,92.963,1.262,350.0,0.0
1.4,93.444,4.963,163.0,0.0
1.1,93.994,4.859,282.0,0.0
-1.8,93.075,1.41,178.0,0.0
1.4,93.918,4.962,246.0,0.0
1.4,93.918,4.963,517.0,0.0
-0.1,93.2,4.191,53.0,0.0
-1.8,92.893,1.244,42.0,0.0
1.4,94.465,4.967,384.0,0.0
-1.1,94.601,1.037,17.0,0.0
1.4,93.444,4.964,107.0,0.0
-1.1,94.199,0.877,211.0,2.0
-1.8,92.893,1.327,86.0,1.0
1.1,93.994,4.857,93.0,0.0
-1.1,94.767,1.035,510.0,1.0
1.1,93.994,4.857,45.0,0.0
-1.8,92.893,1.334,62.0,1.0
-1.7,94.055,0.742,167.0,0.0
-0.1,93.2,4.076,268.0,0.0
1.1,93.994,4.857,551.0,0.0
1.4,93.444,4.963,419.0,0.0
1.1,93.994,4.858,165.0,0.0
1.1,93.994,4.855,111.0,0.0
1.4,94.465,4.959,9.0,0.0
1.4,93.444,4.965,9.0,0.0
-1.8,92.893,1.327,174.0,1.0
-1.8,92.893,1.299,46.0,0.0
-1.8,93.369,0.634,210.0,2.0
1.4,94.465,4.961,416.0,0.0
-1.8,92.893,1.281,46.0,0.0
1.1,93.994,4.857,262.0,0.0
-1.8,92.893,1.25,54.0,0.0
1.1,93.994,4.857,177.0,0.0
-0.1,93.2,4.021,28.0,0.0
-1.7,94.215,0.827,289.0,1.0
1.4,93.918,4.962,140.0,0.0
1.4,93.444,4.965,92.0,0.0
-0.1,93.2,4.021,744.0,0.0
-1.8,92.893,1.299,911.0,0.0
1.4,94.465,4.967,164.0,0.0
-2.9,92.201,0.879,239.0,1.0
1.4,94.465,4.864,279.0,0.0
-1.8,92.893,1.299,41.0,0.0
1.4,93.918,4.963,296.0,0.0
1.4,93.444,4.962,172.0,0.0
1.4,93.444,4.968,159.0,0.0
1.4,93.444,4.964,90.0,0.0
1.1,93.994,4.856,332.0,0.0
1.4,93.918,4.963,74.0,0.0
-1.8,92.893,1.281,419.0,0.0
1.4,94.465,4.959,534.0,0.0
1.4,94.465,4.959,27.0,0.0
1.4,94.465,4.865,302.0,0.0
1.1,93.994,4.857,358.0,0.0
-2.9,92.469,1.029,106.0,0.0
1.4,93.918,4.961,779.0,0.0
-1.8,92.893,1.25,236.0,1.0
-1.8,92.893,1.299,186.0,0.0
1.1,93.994,4.857,427.0,0.0
1.4,93.444,4.963,207.0,0.0
1.1,93.994,4.857,386.0,0.0
1.4,94.465,4.947,121.0,0.0
1.4,93.444,4.963,599.0,0.0
1.4,94.465,4.864,25.0,0.0
-1.8,93.075,1.365,96.0,0.0
1.4,93.444,4.964,236.0,0.0
-3.4,92.379,0.809,2055.0,0.0
-0.1,93.2,4.12,149.0,0.0
1.4,93.918,4.961,158.0,0.0
1.4,93.918,4.962,151.0,0.0
1.4,93.918,4.968,6.0,0.0
1.4,93.918,4.968,87.0,0.0
1.4,93.918,4.961,101.0,0.0
-0.1,93.2,4.153,61.0,0.0
-3.4,92.379,0.77,458.0,0.0
-0.1,93.2,4.12,58.0,0.0
1.4,93.918,4.963,251.0,0.0
1.4,93.918,4.968,232.0,0.0
1.4,93.444,4.965,284.0,0.0
1.4,94.465,4.967,65.0,0.0
1.4,93.918,4.963,161.0,0.0
1.1,93.994,4.856,485.0,0.0
1.4,94.465,4.864,284.0,0.0
1.4,93.918,4.962,226.0,0.0
1.4,94.465,4.864,114.0,0.0
1.4,93.444,4.968,71.0,0.0
-1.8,92.893,1.313,395.0,1.0
1.1,93.994,4.857,375.0,0.0
1.1,93.994,4.857,24.0,0.0
1.4,93.444,4.963,98.0,0.0
1.4,93.444,4.964,220.0,0.0
-1.8,92.893,1.354,226.0,0.0
1.4,93.444,4.966,76.0,0.0
1.4,93.918,4.957,410.0,0.0
-1.8,92.893,1.281,296.0,0.0
1.1,93.994,4.86,34.0,0.0
1.4,93.918,4.961,136.0,0.0
1.1,93.994,4.857,325.0,0.0
-1.8,93.075,1.479,273.0,1.0
1.4,93.444,4.965,255.0,0.0
-0.1,93.2,4.12,126.0,0.0
1.1,93.994,4.856,70.0,0.0
-0.1,93.2,4.076,85.0,1.0
-1.8,92.893,1.281,31.0,1.0
1.4,94.465,4.967,42.0,0.0
-0.1,93.2,4.12,177.0,0.0
1.4,94.465,4.967,44.0,0.0
1.1,93.994,4.857,198.0,0.0
1.4,94.465,4.958,46.0,0.0
-1.8,92.893,1.327,138.0,0.0
1.4,93.918,4.962,139.0,0.0
1.4,93.444,4.967,720.0,0.0
-1.8,92.893,1.344,239.0,0.0
-1.8,92.893,1.244,167.0,0.0
-1.1,94.601,0.942,131.0,2.0
-1.8,92.893,1.266,411.0,0.0
1.1,93.994,4.855,584.0,0.0
1.4,93.918,4.961,466.0,0.0
1.4,94.465,4.864,324.0,0.0
-1.8,92.893,1.244,26.0,2.0
-0.1,93.2,4.021,82.0,0.0
1.4,94.465,4.967,186.0,0.0
-1.8,93.075,1.405,1017.0,0.0
-3.0,92.713,0.717,371.0,0.0
1.4,93.918,4.962,145.0,0.0
-1.8,92.893,1.291,16.0,0.0
1.4,93.918,4.962,158.0,0.0
1.1,93.994,4.864,428.0,0.0
-3.4,92.431,0.742,169.0,0.0
-3.4,92.431,0.741,189.0,0.0
1.4,93.444,4.966,252.0,0.0
1.1,93.994,4.857,185.0,0.0
1.1,93.994,4.855,93.0,0.0
1.1,93.994,4.859,297.0,0.0
-0.1,93.2,4.021,12.0,0.0
1.4,93.444,4.965,119.0,0.0
1.4,93.444,4.963,48.0,0.0
1.1,93.994,4.856,268.0,0.0
1.4,93.444,4.965,118.0,0.0
1.4,93.444,4.964,112.0,0.0
1.1,93.994,4.858,65.0,0.0
1.4,93.444,4.964,171.0,0.0
1.4,93.444,4.963,176.0,0.0
-1.8,92.893,1.244,245.0,0.0
-1.8,92.893,1.291,1388.0,1.0
1.4,94.465,4.961,556.0,0.0
1.1,93.994,4.857,113.0,0.0
-0.1,93.2,4.12,273.0,0.0
1.4,93.918,4.962,22.0,0.0
1.4,93.918,4.958,397.0,0.0
-1.1,94.199,0.879,209.0,2.0
-1.8,92.893,1.299,95.0,0.0
1.4,93.918,4.962,83.0,0.0
1.1,93.994,4.855,42.0,0.0
1.4,93.444,4.965,90.0,0.0
-1.8,92.893,1.25,532.0,0.0
1.4,93.918,4.957,1019.0,0.0
1.1,93.994,4.857,405.0,0.0
-1.8,92.893,1.327,462.0,0.0
-1.8,92.893,1.334,84.0,1.0
-0.1,93.2,4.021,381.0,1.0
1.1,93.994,4.858,513.0,0.0
1.1,93.994,4.855,161.0,0.0
-0.1,93.2,4.076,62.0,0.0
-1.8,93.075,1.483,824.0,1.0
1.4,93.918,4.961,442.0,0.0
1.1,93.994,4.857,60.0,0.0
1.4,94.465,4.864,280.0,0.0
-1.7,94.055,0.702,209.0,0.0
1.4,94.465,4.955,301.0,0.0
1.4,93.918,4.958,1150.0,0.0
1.4,93.918,4.963,1259.0,0.0
-1.8,92.893,1.25,623.0,0.0
-0.1,93.2,4.021,321.0,0.0
-3.4,92.649,0.722,144.0,0.0
1.4,93.444,4.965,84.0,0.0
1.1,93.994,4.864,100.0,0.0
-1.8,92.893,1.291,201.0,0.0
1.4,93.918,4.957,1081.0,0.0
-2.9,92.201,0.873,103.0,2.0
-2.9,92.201,0.883,75.0,1.0
-1.8,93.075,1.405,335.0,0.0
1.4,93.444,4.965,67.0,0.0
1.4,93.918,4.962,407.0,0.0
-1.8,92.893,1.327,147.0,1.0
-1.8,92.893,1.291,374.0,1.0
-1.7,94.215,0.893,527.0,0.0
1.4,93.444,4.964,174.0,0.0
1.4,94.465,4.96,140.0,0.0
-2.9,92.963,1.235,280.0,1.0
-2.9,92.963,1.262,1210.0,1.0
1.4,93.918,4.968,190.0,0.0
1.1,93.994,4.855,238.0,0.0
1.4,93.444,4.968,112.0,0.0
-0.1,93.2,4.076,214.0,0.0
-2.9,92.963,1.26,328.0,2.0
-1.8,92.893,1.313,83.0,1.0
1.4,93.918,4.96,88.0,0.0
1.4,94.465,4.864,194.0,0.0
1.4,93.444,4.963,92.0,0.0
-1.8,92.893,1.344,318.0,0.0
-0.1,93.2,4.191,94.0,2.0
1.1,93.994,4.855,257.0,0.0
-0.1,93.2,4.153,152.0,0.0
1.1,93.994,4.857,92.0,0.0
-1.8,92.893,1.344,118.0,0.0
1.4,93.444,4.963,1111.0,0.0
-1.8,93.075,1.405,214.0,1.0
-3.4,92.379,0.803,205.0,0.0
1.1,93.994,4.858,83.0,0.0
1.1,93.994,4.857,117.0,0.0
-1.1,94.601,1.008,192.0,2.0
-1.8,92.893,1.354,300.0,0.0
1.1,93.994,4.855,129.0,0.0
1.4,94.465,4.961,549.0,0.0
-3.4,92.649,0.714,137.0,0.0
1.4,93.918,4.957,268.0,0.0
1.4,93.918,4.958,50.0,0.0
-1.8,93.075,1.405,57.0,0.0
1.1,93.994,4.856,56.0,0.0
-1.7,94.027,0.898,461.0,0.0
-0.1,93.2,4.076,161.0,1.0
-2.9,92.201,0.883,201.0,1.0
1.4,93.444,4.965,692.0,0.0
-3.4,92.649,0.715,408.0,0.0
-1.7,94.215,0.87,207.0,2.0
1.1,93.994,4.858,158.0,0.0
1.4,93.444,4.968,1332.0,0.0
1.4,93.918,4.962,454.0,0.0
-1.8,93.749,0.644,141.0,0.0
-2.9,92.201,0.884,559.0,2.0
1.4,94.465,4.961,1345.0,0.0
-1.1,94.199,0.879,152.0,0.0
1.4,94.465,4.959,16.0,0.0
1.1,93.994,4.859,86.0,0.0
1.4,94.465,4.961,287.0,0.0
-2.9,92.201,0.825,119.0,2.0
-0.1,93.2,4.153,52.0,0.0
1.4,94.465,4.958,436.0,0.0
1.4,93.444,4.968,122.0,0.0
-1.8,92.893,1.327,235.0,0.0
-1.8,92.893,1.334,164.0,0.0
1.4,93.918,4.962,799.0,0.0
1.4,93.444,4.963,274.0,0.0
-3.4,92.649,0.72,222.0,1.0
-1.8,92.893,1.327,236.0,0.0
-1.8,92.893,1.327,201.0,0.0
-1.8,92.843,1.687,164.0,0.0
1.4,93.918,4.961,85.0,0.0
1.1,93.994,4.856,175.0,0.0
-0.1,93.2,4.153,74.0,0.0
1.1,93.994,4.855,93.0,0.0
1.4,93.444,4.965,334.0,0.0
-1.8,93.369,0.655,229.0,1.0
1.1,93.994,4.856,109.0,0.0
-1.8,93.075,1.41,199.0,1.0
-1.8,92.893,1.281,394.0,0.0
-2.9,92.201,0.849,44.0,1.0
1.4,93.444,4.962,81.0,0.0
-0.1,93.2,4.076,530.0,0.0
1.4,93.918,4.959,433.0,0.0
1.4,93.444,4.965,606.0,0.0
1.4,93.918,4.96,199.0,0.0
1.4,93.444,4.962,16.0,0.0
1.4,93.918,4.968,52.0,0.0
1.1,93.994,4.857,189.0,0.0
1.1,93.994,4.864,50.0,0.0
1.4,94.465,4.865,121.0,0.0
1.1,93.994,4.855,229.0,0.0
1.4,94.465,4.961,163.0,0.0
1.1,93.994,4.864,233.0,0.0
1.4,93.444,4.968,124.0,0.0
1.4,93.444,4.965,667.0,0.0
-2.9,92.201,0.869,224.0,0.0
1.4,93.444,4.964,742.0,0.0
1.4,94.465,4.864,215.0,0.0
1.4,93.918,4.962,145.0,0.0
-1.8,92.893,1.266,105.0,0.0
-1.7,94.055,0.715,190.0,2.0
1.1,93.994,4.856,128.0,0.0
1.1,93.994,4.858,105.0,0.0
1.4,93.918,4.955,157.0,0.0
-1.8,93.075,1.405,372.0,1.0
1.1,93.994,4.859,138.0,0.0
-1.8,92.893,1.281,369.0,0.0
1.4,93.918,4.962,240.0,0.0
-0.1,93.2,4.12,670.0,0.0
1.4,93.918,4.962,90.0,0.0
-0.1,93.2,4.076,140.0,0.0
-1.8,93.075,1.415,217.0,0.0
-0.1,93.2,4.153,93.0,1.0
-1.8,93.075,1.405,111.0,0.0
